Fauna,Credit,Page
Monolophosaurus,Scott Hartman,http://phylopic.org/image/ac27174f-f43f-47fe-8be1-5b4b6be2f80e/
Montanazhdarcho,Scott Hartman,http://phylopic.org/image/8e3352b9-fa98-4d80-b65b-4ee866370e52/
Mourasuchus,"Nicholas J. Czaplewski, vectorized by Zimices",http://phylopic.org/image/752e8dae-a715-4632-a337-048740e23d32/
Nqwebasaurus,Iain Reid,http://phylopic.org/image/665dc6e9-3eee-4fd5-81fb-02d45271e9df/
Ouranosaurus,Nobu Tamura (vectorized by T. Michael Keesey),http://phylopic.org/image/b147095e-826d-4f39-96f5-38e2e822f9a7/
Oxydactylus,Zimices,http://phylopic.org/image/a8d02d68-a7c3-4db4-b22c-c3a0c6f764d7/
Pachycephalosaurus,Emily Willoughby,http://phylopic.org/image/6105ff49-0bd0-477c-8bef-41b0c39fdca9/
Pachycrocuta,Zimices,http://phylopic.org/image/8e52800c-e326-4be8-9b79-b84f2de9338e/
Padillasaurus,Zimices,http://phylopic.org/image/a878800a-df2b-4b63-b286-965bc288f3a5/
Panochthus,Zimices,http://phylopic.org/image/989bff0e-957b-45f9-ab40-9d9c3a5f51fc/
Parasaurolophus,Jack Mayer Wood,http://phylopic.org/image/7d36a10c-43ff-41c5-a939-f3fd203d419c/
Pisanosaurus,Mathew Wedel,http://phylopic.org/image/0e465876-924d-4da6-befe-3dddc729ae98/
Plateosaurus,Jack Mayer Wood,http://phylopic.org/image/23027ce7-713d-4c28-97e2-aec0219266df/
Polonosuchus,Dmitry Bogdanov,http://phylopic.org/image/e551c7e1-64e0-4ed0-ab36-d539ba988ac4/
Protoceratops,Scott Hartman,http://phylopic.org/image/2b161c43-e834-4be3-b68f-52729066dd92/
Pseudemoia,Oliver Griffith,http://phylopic.org/image/f2c8db98-c34c-4140-a868-029bf4b557b1/
Rallus,Ferran Sayol,http://phylopic.org/image/cd5ca1a2-b0a9-4ce9-b163-5c004e327d9d/
Rapetosaurus,Mathew Wedel,http://phylopic.org/image/6ef5f66c-5bd8-491c-8569-c33576467d70/
Rhamphorhynchus,Scott Hartman,http://phylopic.org/image/d10e3a64-87dd-461e-9847-53a720c98052/
Ruehleia,Jack Mayer Wood,http://phylopic.org/image/e401eed5-29f1-42c8-abbd-1f18134734f6/
Sauropelta,Emily Willoughby,http://phylopic.org/image/9dc23409-1e36-402d-8be5-6b939f7fb664/
Scelidosaurus,Scott Hartman,http://phylopic.org/image/c8c0dd20-97cd-4190-8367-178e6e766248/
Scleromochlus,Jaime Headden,http://phylopic.org/image/9a9cffa6-b151-4260-babd-a66b1237d506/
Scleromochlus taylori,Jaime Headden,http://phylopic.org/image/88179cbe-c1ab-4367-9d17-86047f547bc9/
Shuvosaurus,Sarah Werning,http://phylopic.org/image/443f883d-487c-4e31-a8da-ad2c31e45040/
Silesaurus,Mathew Wedel,http://phylopic.org/image/054a0b43-ac08-473a-841e-725bc757cdee/
Stegodon,Zimices,http://phylopic.org/image/451fa4fd-3c6e-4368-88c1-ca75932449a3/
Stegomastodon,"Margret Flinsch, vectorized by Zimices",http://phylopic.org/image/1179b795-27b3-4c2a-a922-a3dbbe1e44df/
Stegosaurus,Scott Hartman,http://phylopic.org/image/95778172-ab3b-49a5-8f41-52a8db03a832/
Sthenurus,Zimices,http://phylopic.org/image/d244a4f8-69e4-45b0-8bbc-82cd5520db7e/
Stratiotosuchus,"Caio Bernardes, vectorized by Zimices",http://phylopic.org/image/3e436cff-6601-4629-a99e-ba0adeec3472/
Stygimoloch,Emily Willoughby,http://phylopic.org/image/dc73bebc-7294-493d-b64a-98addd6ea837/
Teleocrater,Scott Hartman,http://phylopic.org/image/d6c7783a-d639-4290-97ee-1d85394d480c/
Theiophytalia,Scott Hartman,http://phylopic.org/image/f020e28d-97f4-409b-9cad-65cbf35cc2cd/
Theosodon,Zimices,http://phylopic.org/image/c9c5af3a-1fed-4abf-a734-3473f89cae18/
Tianyulong,Emily Willoughby,http://phylopic.org/image/8c90fb70-ec89-4cc7-9675-8e6f034e8d02/
Titanoceratops,Nobu Tamura,http://phylopic.org/image/a2a5e9a6-2fd5-4f98-8c2a-79d8aecda9dc/
Tsintaosaurus,Nobu Tamura (vectorized by T. Michael Keesey),http://phylopic.org/image/a72a82c7-d2a2-41da-bb14-cdf717c7b665/
Tylosaurus,Scott Hartman,http://phylopic.org/image/8ae20f15-d9c1-45ff-a117-77f001b6eb0a/
Utahraptor,Scott Hartman,http://phylopic.org/image/67e75a1f-005c-4930-86e9-2c371defa500/
Utahraptor ostrommaysi,Emily Willoughby,http://phylopic.org/image/06662a5b-a115-4231-897a-a74570b1320f/
Velociraptor,Rebecca Groom,http://phylopic.org/image/cf3a5398-3946-4261-803c-1838d92eaeb9/
Xenoceratops,Scott Hartman,http://phylopic.org/image/e2611edc-59cc-4cfc-bae2-a2ed46e32763/
Yinlong,Andrew A. Farke,http://phylopic.org/image/580db433-c610-40df-b7d8-a3434ad158ed/
Zhenyuanlong,Emily Willoughby,http://phylopic.org/image/f9e142f8-a58b-43d7-b241-26a6f755e5b6/
Edmontosaurus regalis,Pete Buchholz,http://phylopic.org/image/77d954c4-88d2-4a38-818d-eb5fd7a88846/
Carcharocles megalodon,Scarlet23 (vectorized by T. Michael Keesey),http://phylopic.org/image/993d4e41-51b3-4c59-a4ad-b3dbd482968e/
Callorhinchus,Tambja (vectorized by T. Michael Keesey),http://phylopic.org/image/ca376e77-d339-4dcc-9719-b09d346eee34/
Cryolophosaurus,Brad McFeeters,http://phylopic.org/image/6655838b-ba6a-4889-92f4-879444d1b931/
Bissektipelta,Brad McFeeters,http://phylopic.org/image/bf68e21e-fa8d-4f26-be72-03c52ce4d047/
Huaxiagnathus,Brad McFeeters,http://phylopic.org/image/8c13fc28-3e54-4ea2-851c-1112e2bbf1fe/
Thecodontosaurus,Jaime Headden,http://phylopic.org/image/aa9f6082-6b87-4f13-b6f5-9c4756289637/
Tyrannosaurus rex,Matt Martyniuk,http://phylopic.org/image/e093cadb-cec3-4d77-a518-489dce95a202/
Eodromaeus,Conty,http://phylopic.org/image/540e9a55-77c9-4754-ad84-3ec003c6ace8/
Monolophosaurus jiangi,Jordan Mallon (vectorized by T. Michael Keesey),http://phylopic.org/image/79f26be5-29d6-4a8e-a2bf-cd3a15fa8e6f/
Tyrannosaurus bataar,Matt Martyniuk,http://phylopic.org/image/5fb2a2f9-8712-486c-ac76-bcdc0e14c2bd/
Nasutoceratops,Lukas Panzarin (vectorized by T. Michael Keesey),http://phylopic.org/image/ef275bb4-d7bc-4687-a52e-9dab12a1f582/
Achelousaurus,Nobu Tamura (modified by T. Michael Keesey),http://phylopic.org/image/45f4a99b-5880-4f55-8987-58e80fa62aa6/
Euoplocephalus,Andrew A. Farke,http://phylopic.org/image/5b062105-b6a2-4405-bd75-3d0399102b9a/
Dryosaurus,Gareth Monger,http://phylopic.org/image/14184e4e-0777-4d0b-8cb4-00dedd216af4/
Torvosaurus tanneri,(uncredited),http://phylopic.org/image/5f1e1adf-372c-4289-bfc5-147245c41170/
Haya griva,Pete Buchholz,http://phylopic.org/image/9bbcc4fb-fda8-4455-a9ab-092f13fedffd/
Tenontosaurus,Pete Buchholz,http://phylopic.org/image/e1c46712-d801-421a-b8fd-61cb9573f248/
Plesiopterys,Gareth Monger,http://phylopic.org/image/a46edfc9-7ee5-4316-9862-c27c435cf047/
Stegoceras,Caleb M. Brown,http://phylopic.org/image/4d160c01-0026-4176-9471-4e79771c8c91/
Thescelosaurus,Caleb M. Brown,http://phylopic.org/image/b7879e57-baca-4cd2-83c5-e85e8971a85f/
Albertadromeus,Caleb M. Brown,http://phylopic.org/image/b48a256b-cb24-4a48-8aa4-bd7f87ccf5db/
Jianchangosaurus,"Hanyong Pu, et al.",http://phylopic.org/image/4391e695-92b0-4e67-be00-4116f8af9fd0/
Sciurumimus,Caleb M. Brown,http://phylopic.org/image/76be7ad0-6426-4ffa-92a3-07b1acbf4709/
Acrotholus,Gareth Monger,http://phylopic.org/image/14d3a680-60e4-4b9a-a6c4-4c85fb6527cc/
Macroplata,Nobu Tamura (vectorized by T. Michael Keesey),http://phylopic.org/image/9c41489f-af62-48b4-8bd4-7126b547a59c/
Stegosaurus ungulatus,Andrew A. Farke,http://phylopic.org/image/173f44e3-2db7-4c98-b41f-6ab58093a145/
Tyrannotitan chubutensis,Michael P. Taylor,http://phylopic.org/image/4bf61905-5424-4d54-b4fd-477a62907eae/
Eurhinosaurus,Gareth Monger,http://phylopic.org/image/303ddff0-6a51-4f70-adf7-69bb22385d6d/
Miragaia,T. Michael Keesey,http://phylopic.org/image/38b85ee7-b89e-4fef-aab5-25ec4781c7e4/
Lesothosaurus diagnosticus,Jaime Headden,http://phylopic.org/image/f91c54b6-ea6e-46d8-9035-e8da65c1db1f/
Placodus gigas,Nobu Tamura (vectorized by T. Michael Keesey),http://phylopic.org/image/18eb61c8-5e23-42ee-9917-cde560ae84dc/
Carnotaurus,Jaime Headden,http://phylopic.org/image/c59710f4-3ee4-4cfe-93bb-913b42cec4c8/
Huayangosaurus taibaii,Nobu Tamura (modified by T. Michael Keesey),http://phylopic.org/image/7ba30dac-e98c-4e99-9ae4-e1a62d1d5722/
Homalocephale,Michael B. H. (vectorized by T. Michael Keesey),http://phylopic.org/image/55447a9d-b19a-4037-b6b5-68084b62aa10/
Shastasaurus,Gareth Monger,http://phylopic.org/image/83c83962-d551-42dd-a3b2-99346a89fc99/
Dahalokely,Andrew Farke and Joseph Sertich,http://phylopic.org/image/1730665f-ffb8-4026-b9a6-e36ba92bbc24/
Neovenator,Scott Hartman,http://phylopic.org/image/b3ad94ef-b149-4342-b125-4f0f5dee749d/
Baryonyx,Gareth Monger,http://phylopic.org/image/7c6775fb-5df6-431c-9fcb-4e58a833bc29/
Megalosaurus,Scott Hartman,http://phylopic.org/image/bacadb12-5f94-4397-8c4a-573b3e2a5d07/
Heterodontosaurus,Scott Hartman,http://phylopic.org/image/cd472d88-06e5-41bd-99eb-96ccec3ff324/
Ornitholestes,Scott Hartman,http://phylopic.org/image/1bda7374-b721-4a8f-bef0-84ae09d6bf54/
Teratophoneus,Scott Hartman,http://phylopic.org/image/ad05ef4a-3533-4b30-b1ff-3d1faf393337/
Struthiomimus,Craig Dylke,http://phylopic.org/image/72d740f3-17f2-460f-b04b-fa9bb6b3e00f/
Cristatusaurus,Scott Hartman,http://phylopic.org/image/909b5f69-8e28-4b9b-81cf-c86addbfd096/
Pampadromaeus,Bruno Navarro,http://phylopic.org/image/c8fa6626-4d1c-464e-9168-823bf6436358/
Albertosaurus,Craig Dylke,http://phylopic.org/image/d7da9be9-fad6-4683-bf5e-bf7c951ee92c/
Paradoxurinae,Renata F. Martins,http://phylopic.org/image/ada8aff8-ef42-48d6-8d90-099d95f0cf39/
Deinocheirus mirificus,Julio Garza,http://phylopic.org/image/f73a57a3-2489-44fe-9b26-d213d20ed8d0/
Libralces,Zimices,http://phylopic.org/image/bc7ecc33-4790-47f8-a45e-e11698d96400/
Pterodactylus,Julio Garza,http://phylopic.org/image/97ce8bbd-68a1-4185-a23e-59dcad7d7f15/
Dilophosaurus wetherilli,Robert Gay,http://phylopic.org/image/cbf3da38-ac71-48a5-b455-23c822c22e9a/
Camarasaurus,Mathew Wedel,http://phylopic.org/image/7a99b167-b719-4233-946c-addf3ef1c06c/
Thalassodromeus,Jaime Headden,http://phylopic.org/image/4d0a3cfd-379a-443d-ae5e-07058e2d9055/
Anchillobator,Matt Martyniuk,http://phylopic.org/image/11491d2a-337d-41ae-a276-ebdc18e5055b/
Camelus ferus,Lukasiniho,http://phylopic.org/image/918ad1f7-fc6e-43f5-9708-b2da8a71a820/
Olorotitan,????? (vectorized by T. Michael Keesey),http://phylopic.org/image/9161bbeb-fa38-48f6-bb20-c68c255dd9b6/
Geococcyx,Patrick Fisher,http://phylopic.org/image/794f1293-774f-4fb2-9543-64dea9bc37d5/
Aurornis,Gareth Monger,http://phylopic.org/image/b1cb08ee-062d-4101-b945-014e654f4316/
Dinogorgon,Chris Jennings (Risiatto),http://phylopic.org/image/ddbd5048-3148-4088-9ab1-97becdcb7ae3/
Dicraeosaurus,Michael P. Taylor,http://phylopic.org/image/00b20655-5464-4caf-902a-bc41c3953ca2/
Ctenochasma,Jaime Headden,http://phylopic.org/image/230b9d10-9efd-459f-bd2c-89e9cdef997b/
Saurornitholestes,Scott Hartman,http://phylopic.org/image/74c2f75c-2379-4a64-9694-a160ed21e61f/
Archaeopteryx,Scott Hartman,http://phylopic.org/image/5b18bbbd-516e-40ba-8f2a-3e77aad72230/
Gryposaurus,Scott Hartman,http://phylopic.org/image/4ae90b8f-bbb4-47cd-a914-98e1c845cf1e/
Edmontonia,Scott Hartman,http://phylopic.org/image/af64af4c-5a03-4218-b9fe-440253fd51ae/
Staurikosaurus,Bruno Navarro,http://phylopic.org/image/5b7e6fe2-3c73-4b1f-ac7b-e05655116b47/
Tethysaurus,Zimices,http://phylopic.org/image/52044499-6262-48f0-a61a-b4f193c536f7/
Coelodonta,Zimices,http://phylopic.org/image/917167d9-1ead-4f9b-b19d-c0afd39357b0/
Doedicurus,Zimices,http://phylopic.org/image/57ac54dc-3e7a-4661-b75c-5bbc09248b83/
Granastrapotherium,Zimices,http://phylopic.org/image/06c83fdc-961a-4691-8f80-035117e5258d/
Prothoatherium,Zimices,http://phylopic.org/image/0cd9f4e6-564f-4162-ba8b-875d7dd7652d/
Troodon,Raven Amos,http://phylopic.org/image/b50c893f-8a76-4cd2-9e03-4514fc1cbc80/
Desmatosuchus,Steven Traver,http://phylopic.org/image/77736ac8-c667-4649-b2a9-fa9e701cdafb/
Megaloceraos,Steven Traver,http://phylopic.org/image/a85b378b-2287-4cf1-a0f1-0ad53cd56f56/
Coelodonta antiquitatis,Steven Traver,http://phylopic.org/image/e6d3526b-9ce9-4144-96e0-b2587b4c6a74/
Raphus,Steven Traver,http://phylopic.org/image/01bbffec-312c-493a-bcd3-e9361ed3435d/
Vulpes,Steven Traver,http://phylopic.org/image/51b1b6e4-129d-41a6-bbbd-c3fab459c25f/
Shenzhouraptor,Matt Martyniuk,http://phylopic.org/image/0a4e1b13-d4f4-425c-8b80-8db24831280f/
Utahraptor ostrom,Emily Willoughby,http://phylopic.org/image/5f83d70e-a91f-437d-bee4-a4fc7bec995e/
Dromomeron,Nobu Tamura,http://phylopic.org/image/e4bf088b-35de-4730-aab6-8f860045eb29/
Spinosaurus,Scott Hartman,http://phylopic.org/image/dd04dfc6-9ecd-4854-8025-22069d4c1bf4/
Dunkleosteus terrelli,Maija Karala,http://phylopic.org/image/40de8560-4b47-4707-823d-244e2713bbde/
Microvenator,FunkMonk,http://phylopic.org/image/9e2c9596-43e9-4ea4-a642-93ee44501e73/
Kelenken,FunkMonk,http://phylopic.org/image/4745210a-93f6-4bec-af63-e84820e9ea5b/
Kakuru,Dann Pigdon,http://phylopic.org/image/f170274b-c887-4aea-a30c-73238ede3e4c/
Segnosaurus,FunkMonk,http://phylopic.org/image/0f195f49-b914-4e91-a2c8-709de3a9b996/
Shuvuuia,FunkMonk,http://phylopic.org/image/e175b06d-60c1-4d0b-8596-fd2543738d19/
Troodon junior,FunkMonk,http://phylopic.org/image/948449df-8b08-4ea4-9f1e-391cd410c78a/
Gallimimus,Scott Hartman,http://phylopic.org/image/38a46979-091e-427d-9ebc-712305e87475/
Struthio,T. Michael Keesey,http://phylopic.org/image/a8a6b7b8-eeea-4faa-992d-cdbd64edda3c/
